( passenger, driver )
( 4896, 4870)
( 2554, 891)
( 4712, 3245)
( 4715, 4870)
( 2552, 891)
( 2295, 387)
( 4716, 4870)
( 2549, 3297)
( 2296, 891)
( 4894, 3245)
( 2298, 891)
( 4718, 4870)
( 2546, 387)
( 3515, 4084)
( 4057, 4084)
( 3503, 4084)
( 3504, 3297)
( 3508, 4084)
( 3509, 387)
( 3510, 387)
( 3511, 4084)
( 3513, 4084)
( 3514, 4084)
( 4058, 4870)
( 3517, 4084)
( 3521, 3297)
( 4054, 4084)
( 3529, 4084)
( 3530, 4084)
( 3534, 4084)
( 3535, 4870)
( 3489, 4084)
( 3468, 4084)
( 3470, 4084)
( 4069, 4870)
( 4068, 3497)
( 3474, 3297)
( 3476, 4084)
( 4064, 4870)
( 3486, 3297)
( 4063, 4870)
( 3536, 4084)
( 3490, 4084)
( 3492, 4084)
( 3495, 387)
( 3496, 387)
( 3497, 4084)
( 3498, 4084)
( 3499, 4084)
( 3500, 4084)
( 3591, 3297)
( 4037, 4084)
( 3576, 4084)
( 4034, 4084)
( 3581, 4084)
( 3582, 4084)
( 4031, 4084)
( 3584, 4084)
( 3586, 4084)
( 3588, 4084)
( 3572, 4870)
( 3592, 4084)
( 3594, 4870)
( 3598, 3297)
( 3599, 4084)
( 4028, 4870)
( 4027, 4084)
( 3603, 3297)
( 4022, 4870)
( 3556, 4084)
( 4053, 4870)
( 3540, 4084)
( 4052, 4870)
( 4050, 4084)
( 3548, 3297)
( 4049, 4870)
( 3552, 4084)
( 3555, 4084)
( 3467, 3497)
( 3557, 4084)
( 3559, 4084)
( 3563, 4084)
( 4043, 4084)
( 3565, 4084)
( 3566, 4084)
( 4038, 4084)
( 3571, 3297)
( 3392, 4084)
( 3371, 387)
( 4140, 4870)
( 4139, 4870)
( 3372, 891)
( 4135, 4084)
( 3383, 891)
( 3384, 4084)
( 4132, 4084)
( 3390, 4084)
( 3367, 4084)
( 3394, 4084)
( 4126, 4870)
( 3395, 891)
( 4125, 4870)
( 4123, 4870)
( 3398, 4084)
( 3399, 4084)
( 3400, 891)
( 3346, 4084)
( 3337, 3297)
( 4165, 4084)
